Language,Speech,file_name,Intent,NER_Tag
English,I need something for hypertension,./Intent_Prediction/audio/0006.mp3,enquire_info,'00001
English,What time is the meeting,./Intent_Prediction/audio/0146.mp3,enquire_info,'00000
Cantonese,今日幾點開會,./Intent_Prediction/audio/0147.mp3,enquire_info,'000000
English,Whats the weather like today,./Intent_Prediction/audio/0154.mp3,enquire_info,'00000
Cantonese,今日天氣如何,./Intent_Prediction/audio/0155.mp3,enquire_info,'000000
English,How do I connect to WiFi,./Intent_Prediction/audio/0158.mp3,enquire_info,'000000
Cantonese,點樣連接WiFi,./Intent_Prediction/audio/0159.mp3,enquire_info,'00000
English,Whats the schedule for tomorrow,./Intent_Prediction/audio/0164.mp3,enquire_info,'00000
Cantonese,明日行程係咩,./Intent_Prediction/audio/0165.mp3,enquire_info,'000000
English,What is the current time,./Intent_Prediction/audio/0176.mp3,enquire_info,'00000
Cantonese,依家幾點鐘,./Intent_Prediction/audio/0177.mp3,enquire_info,'00000
English,Whats the latest news,./Intent_Prediction/audio/0190.mp3,enquire_info,'0000
Cantonese,最新新聞有咩,./Intent_Prediction/audio/0191.mp3,enquire_info,'000000
English,What movies are playing nearby,./Intent_Prediction/audio/0194.mp3,enquire_info,'00000
Cantonese,附近有咩戲上映,./Intent_Prediction/audio/0195.mp3,enquire_info,'0000000
English,What is the traffic like right now,./Intent_Prediction/audio/0202.mp3,enquire_info,'0000000
Cantonese,依家交通情況如何,./Intent_Prediction/audio/0203.mp3,enquire_info,'00000000
English,Whats on my to-do list today,./Intent_Prediction/audio/0206.mp3,enquire_info,'0000000
Cantonese,今日有咩待辦事項,./Intent_Prediction/audio/0207.mp3,enquire_info,'00000000
English,Can you translate this sentence for me,./Intent_Prediction/audio/0210.mp3,enquire_info,'0000000
Cantonese,幫我翻譯呢句說話,./Intent_Prediction/audio/0211.mp3,enquire_info,'00000000
English,When is the next holiday,./Intent_Prediction/audio/0214.mp3,enquire_info,'00000
Cantonese,下次假期係幾時,./Intent_Prediction/audio/0215.mp3,enquire_info,'0000000
English,What's the weather like today,./Intent_Prediction/audio/0705.mp3,enquire_info,'00000
English,Can you tell me a joke,./Intent_Prediction/audio/0706.mp3,enquire_info,'000000
English,How do I cook rice properly,./Intent_Prediction/audio/0707.mp3,enquire_info,'000000
English,Do you know any good movies,./Intent_Prediction/audio/0709.mp3,enquire_info,'000000
English,What's your favorite song,./Intent_Prediction/audio/0710.mp3,enquire_info,'0000
English,How do I fix a flat tire,./Intent_Prediction/audio/0711.mp3,enquire_info,'0000000
English,Can you help me plan a trip,./Intent_Prediction/audio/0712.mp3,enquire_info,'0000000
English,What time is it now,./Intent_Prediction/audio/0714.mp3,enquire_info,'00000
English,Whats the best way to learn a language,./Intent_Prediction/audio/0725.mp3,enquire_info,'00000000
English,Can I bring my dog here,./Intent_Prediction/audio/0726.mp3,enquire_info,'000000
English,What should I eat for dinner,./Intent_Prediction/audio/0727.mp3,enquire_info,'000000
English,Should I bring an umbrella,./Intent_Prediction/audio/0729.mp3,enquire_info,'00000
English,What's your favorite TV show,./Intent_Prediction/audio/0730.mp3,enquire_info,'00000
English,What should I do if my computer is slow,./Intent_Prediction/audio/0733.mp3,enquire_info,'000000000
English,Do you know any good books to read,./Intent_Prediction/audio/0734.mp3,enquire_info,'00000000
English,Can you teach me how to meditate,./Intent_Prediction/audio/0735.mp3,enquire_info,'0000000
English,What are the best ways to stay healthy,./Intent_Prediction/audio/0736.mp3,enquire_info,'00000000
English,What time does the movie start,./Intent_Prediction/audio/0737.mp3,enquire_info,'000000
English,How do I apply for a visa,./Intent_Prediction/audio/0740.mp3,enquire_info,'0000000
English,Do you know any fun activities for the weekend,./Intent_Prediction/audio/0741.mp3,enquire_info,'000000000
English,Can I get some help with my homework,./Intent_Prediction/audio/0742.mp3,enquire_info,'00000000
English,How can I improve my writing skills,./Intent_Prediction/audio/0743.mp3,enquire_info,'0000000
English,Do you know the latest news,./Intent_Prediction/audio/0745.mp3,enquire_info,'000000
English,How do I organize my closet,./Intent_Prediction/audio/0746.mp3,enquire_info,'000000
English,Can you show me how to make pancakes,./Intent_Prediction/audio/0747.mp3,enquire_info,'00000000
Cantonese,今日天氣點呀,./Intent_Prediction/audio/0750.mp3,enquire_info,'000000
Cantonese,點樣煮飯好味啲,./Intent_Prediction/audio/0752.mp3,enquire_info,'0000000
Cantonese,你識唔識整電話,./Intent_Prediction/audio/0754.mp3,enquire_info,'0000000
Cantonese,可唔可以推薦一本好書,./Intent_Prediction/audio/0755.mp3,enquire_info,'0000000000
Cantonese,我應該著咩衫出街,./Intent_Prediction/audio/0757.mp3,enquire_info,'00000000
Cantonese,幫我計劃旅行啦,./Intent_Prediction/audio/0758.mp3,enquire_info,'0000000
Cantonese,今日幾點鐘啊,./Intent_Prediction/audio/0759.mp3,enquire_info,'000000
Cantonese,今日要帶遮嗎,./Intent_Prediction/audio/0771.mp3,enquire_info,'000000
Cantonese,可以養狗嗎,./Intent_Prediction/audio/0773.mp3,enquire_info,'00000
Cantonese,咩時候開始落雨,./Intent_Prediction/audio/0774.mp3,enquire_info,'0000000
Cantonese,有冇人可以幫我修理電腦,./Intent_Prediction/audio/0775.mp3,enquire_info,'00000000000
Cantonese,點解我嘅手機變慢,./Intent_Prediction/audio/0777.mp3,enquire_info,'00000000
Cantonese,你有冇好書推介,./Intent_Prediction/audio/0778.mp3,enquire_info,'0000000
Cantonese,點樣學好作文,./Intent_Prediction/audio/0779.mp3,enquire_info,'000000
Cantonese,點樣改善我嘅中文,./Intent_Prediction/audio/0781.mp3,enquire_info,'00000000
Cantonese,可以教我點樣冥想嗎,./Intent_Prediction/audio/0782.mp3,enquire_info,'000000000
Cantonese,點樣保持健康,./Intent_Prediction/audio/0783.mp3,enquire_info,'000000
Cantonese,電影幾點鐘開,./Intent_Prediction/audio/0784.mp3,enquire_info,'000000
Cantonese,最近有咩好買嘅電話,./Intent_Prediction/audio/0785.mp3,enquire_info,'000000000
Cantonese,怎樣先可以申請簽證,./Intent_Prediction/audio/0787.mp3,enquire_info,'000000000
Cantonese,這個週末有冇有趣的活動,./Intent_Prediction/audio/0788.mp3,enquire_info,'00000000000
Cantonese,我應該點整理衣櫃,./Intent_Prediction/audio/0789.mp3,enquire_info,'00000000
Cantonese,可以教我煎蛋餅嗎,./Intent_Prediction/audio/0790.mp3,enquire_info,'00000000
Cantonese,我唔知點先可以搭的士,./Intent_Prediction/audio/0791.mp3,enquire_info,'0000000000
Cantonese,呢度有冇新消息,./Intent_Prediction/audio/0792.mp3,enquire_info,'0000000
English,Can you recommend a good book,./Intent_Prediction/audio/0793.mp3,enquire_info,'000000
English,How do I change my phones wallpaper,./Intent_Prediction/audio/0795.mp3,enquire_info,'0000000
English,What time is the meeting tomorrow,./Intent_Prediction/audio/0797.mp3,enquire_info,'000000
English,What should I wear to the party,./Intent_Prediction/audio/0800.mp3,enquire_info,'0000000
English,Do you know any good podcasts,./Intent_Prediction/audio/0801.mp3,enquire_info,'000000
English,Whats the best way to make a salad,./Intent_Prediction/audio/0803.mp3,enquire_info,'00000000
English,Can you show me how to make a smoothie,./Intent_Prediction/audio/0804.mp3,enquire_info,'000000000
English,How do I start a new hobby,./Intent_Prediction/audio/0806.mp3,enquire_info,'0000000
English,Whats the best way to spend the weekend,./Intent_Prediction/audio/0807.mp3,enquire_info,'00000000
English,Can you help me study for my exam,./Intent_Prediction/audio/0808.mp3,enquire_info,'00000000
English,How do I fix my printer,./Intent_Prediction/audio/0809.mp3,enquire_info,'000000
English,Whats a good way to stay motivated,./Intent_Prediction/audio/0810.mp3,enquire_info,'0000000
English,Can you recommend a workout routine,./Intent_Prediction/audio/0811.mp3,enquire_info,'000000
English,How do I cancel a subscription,./Intent_Prediction/audio/0813.mp3,enquire_info,'000000
English,Whats the best way to save money,./Intent_Prediction/audio/0814.mp3,enquire_info,'0000000
English,Can you show me how to tie a tie,./Intent_Prediction/audio/0815.mp3,enquire_info,'000000000
